,Unnamed: 0,BHK,Rent,Size,Floor,Area,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
48,48,3,30000,2000,Ground out of 2,1,Behala,1,2,1,2
49,49,3,15000,1068,Ground out of 3,1,Bansdroni,1,2,1,2
50,50,1,7500,150,1 out of 1,1,Salt Lake City,1,2,1,1
51,51,1,7500,450,2 out of 2,2,New Town,1,1,2,1
52,52,2,5000,800,Ground out of 1,2,Baruipur,1,1,1,1
53,53,2,15000,1000,Ground out of 2,1,Bansdroni,1,1,1,2
54,54,2,11000,900,5 out of 5,1,Pancha Sayar,1,2,2,1
55,55,1,7000,600,Ground out of 2,2,Behala,1,1,1,1
56,56,2,6000,1200,1 out of 1,1,Hooghly-Chinsurah,1,1,1,1
57,57,2,6000,1200,2 out of 2,1,Hooghly-Chinsurah,1,2,2,2
58,58,2,7000,650,Ground out of 3,1,"Amtala, Diamond Harbour Road",1,2,1,2
59,59,2,8500,720,4 out of 4,2,"Shrachi Village, Madhyam Gram",1,2,1,2
60,60,1,5000,300,1 out of 3,2,Kasba,1,1,2,1
61,61,3,30000,1200,Ground out of 2,2,VIP Road Haldiram,1,1,1,3
62,62,2,10000,700,7 out of 8,2,Sarsuna,1,1,1,2
63,63,3,30000,2000,1 out of 3,1,Naihati,1,2,1,2
64,64,1,3500,250,Ground out of 4,1,Baksara,1,2,1,1
65,65,2,8000,1100,Ground out of 3,2,Naihati,1,1,2,1
66,66,1,5000,300,Ground out of 2,2,Kasba,1,1,1,1
67,67,2,7500,600,Ground out of 2,1,"Amtala, Diamond Harbour Road",1,2,1,1
68,68,2,6500,800,Ground out of 2,2,"Chak Thakurani, Thakurpukur",1,1,1,1
69,69,1,7500,680,1 out of 3,1,Jadavpur,1,1,1,1
70,70,1,7500,680,Ground out of 2,1,Jadavpur,1,1,1,1
71,71,2,16000,850,1 out of 4,2,Salt Lake City Sector 1,1,2,2,1
72,72,2,16000,850,1 out of 2,2,Salt Lake City Sector 1,1,2,2,1
73,73,2,6500,700,Ground out of 2,1,Bandel,1,1,2,1
74,74,3,40000,1500,Ground out of 2,1,Beliaghata,1,1,1,2
75,75,2,12500,950,1 out of 4,1,"Magnolia Prestige, Rajarhat",1,2,1,2
76,76,2,5500,500,Ground out of 2,1,"Baishnabghata Patuli Township, Patuli",1,1,1,1
77,77,1,5000,450,2 out of 4,2,"Dum Dum Heights, Jessore Road",1,2,1,1
78,78,2,6500,700,Ground out of 2,1,Sonarpur,1,1,2,1
79,79,1,8000,500,1 out of 2,1,Lake Town,1,1,1,1
80,80,3,14500,1800,Ground out of 2,1,Belghoria,1,2,1,2
81,81,1,8200,500,1 out of 3,2,"Rabindra Pally, Keshtopur",1,2,1,1
82,82,2,15000,480,Ground out of 3,2,shukhobrishti,1,2,1,2
83,83,2,6700,800,1 out of 2,1,"Baishnavghata patuli , house number s-300 Kolkata 700094",1,2,1,1
84,84,1,10000,435,2 out of 3,1,Kasba,1,1,1,1
85,85,2,7000,700,Ground out of 2,2,Dum Dum Metro,1,2,1,2
86,86,2,22000,800,4 out of 4,1,"Hazra, Kalighat",1,2,1,1
87,87,2,6500,450,1 out of 3,1,Ajoy Nagar,1,1,1,1
88,88,2,8500,550,2 out of 3,2,Kasba -East,1,2,1,1
89,89,2,18000,800,Ground out of 4,2,Salt Lake City,1,1,2,2
90,90,2,12000,550,Ground out of 2,2,Baghajatin,1,2,3,2
91,91,1,9000,600,2 out of 4,1,Behala,1,2,1,1
92,92,1,6000,500,Ground out of 1,1,"New Garia, Garia",1,1,1,1
93,93,2,20000,1000,1 out of 2,1,Anandapur,1,2,1,2
94,94,1,5000,300,1 out of 2,2,Dum Dum Metro,1,1,1,1
95,95,2,12000,1200,1 out of 3,1,Boral,1,2,1,2
96,96,2,10000,500,3 out of 4,2,"Rabindra Pally, Keshtopur",1,2,1,1
97,97,4,18000,1200,1 out of 2,1,Bagbazar,1,1,3,2
98,98,2,15000,900,1 out of 2,2,Salt Lake City Sector 1,1,2,1,2
99,99,3,22000,1300,Ground out of 2,2,Salt Lake City Sector 2,1,1,1,3
100,100,4,35000,1600,1 out of 5,2,Salt Lake City Sector 3,1,1,1,3
101,101,3,21000,1450,Ground out of 1,1,Ajoy Nagar,1,1,3,2
102,102,2,25000,1100,2 out of 2,1,"Action Area 1, Rajarhat Newtown",1,2,2,2
103,103,2,180000,950,Ground out of 1,2,"Avenue S, Santoshpur",1,1,1,2
104,104,1,6000,600,8 out of 5,2,Pratiraksha Nagar,1,1,1,1
105,105,2,14000,700,Ground out of 2,2,"Kudghat, Ashok Nagar",1,1,1,2
106,106,3,8000,750,Ground out of 2,1,"Sakher Bazar, Purba Barisha",1,1,3,1
107,107,2,8000,1000,Ground out of 1,1,"Purbasan, Thakurpukur",1,1,1,1
108,108,1,6000,220,Ground out of 2,1,"Bidhan Pally, Bansdroni",1,2,1,1
109,109,1,8000,300,1 out of 3,2,"Naktala, Garia",1,2,2,1
110,110,1,6000,300,Ground out of 1,2,Tiljala Road,1,1,1,1
111,111,1,20000,700,1 out of 2,1,Sankaritola,1,2,1,1
112,112,3,12000,800,Ground out of 1,1,"Parnashree Lake, Behala",1,1,1,2
113,113,3,15000,1600,1 out of 3,1,Garia,1,1,1,2
114,114,2,14000,1000,1 out of 3,2,Kasba,1,1,1,2
115,115,1,5000,20,2 out of 3,1,Dakshineswar,1,1,1,1
116,116,2,7000,400,Ground out of 2,2,chatana,1,1,1,1
117,117,1,3900,200,2 out of 2,1,Shyam Bazar,1,2,1,1
118,118,3,14000,840,1 out of 4,2,Mukundapur,1,1,2,2
119,119,1,6300,300,1 out of 1,2,Salt Lake City Sector 5,1,1,1,1
120,120,2,13000,550,1 out of 2,2,Salt Lake City Sector 5,1,2,1,2
121,121,1,6800,300,1 out of 2,2,Salt Lake City Sector 5,1,1,1,1
122,122,2,8000,800,1 out of 1,1,Behala Chowrasta,1,1,1,2
123,123,2,10000,740,Ground out of 6,2,Sonarpur,1,1,2,1
124,124,2,18000,1300,1 out of 1,1,Santoshpur,1,1,1,2
125,125,2,8000,650,Ground out of 1,1,"Garia Station, Garia",1,2,1,1
126,126,2,8000,490,1 out of 1,1,Entally,1,2,1,1
127,127,1,4700,250,2 out of 2,1,Kaikhali,1,2,1,1
128,128,1,4700,250,Ground out of 1,1,"Dash Drone, Rajarhat Newtown",1,2,1,1
129,129,1,4500,450,1 out of 2,1,"Rabindra Pally, Keshtopur",1,1,1,1
130,130,1,6000,300,Ground out of 1,2,Salt Lake City Sector 1,1,2,1,1
131,131,2,16000,750,1 out of 3,1,"Rajdanga Gardens, Kasba",1,1,1,2
132,132,1,4700,250,1 out of 2,1,Kaikhali,1,2,1,1
133,133,2,14000,751,3 out of 3,2,Baghajatin,1,1,2,1
134,134,2,9000,900,Ground out of 2,2,Lake Town,1,2,2,1
135,135,2,5000,400,1 out of 3,2,Keshtopur,1,2,1,1
136,136,2,17500,1000,Ground out of 2,2,Salt Lake City,1,2,1,2
137,137,2,8500,1000,Ground out of 1,2,South Baksara,1,1,1,1
138,138,3,15000,1500,1 out of 1,2,"Chandannagar, Hooghly-Chinsurah",1,2,3,2
139,139,2,12500,750,1 out of 3,2,"Sukhpally, Haltu",1,1,1,2
140,140,1,13000,1200,2 out of 4,1,Kasba,1,2,1,1
141,141,2,8000,700,Ground out of 1,1,"Sakher Bazar, Purba Barisha",1,1,1,1
142,142,2,8000,700,4 out of 4,2,Garia Dhalua Nabapally,1,2,1,1
143,143,2,8000,1000,Ground out of 2,1,"Chinar Park, Rajarhat",1,2,1,1
144,144,2,7000,1200,1 out of 3,1,Konnagar,1,1,1,2
145,145,2,2200,550,2 out of 3,1,Behala silpara,1,2,1,1
146,146,2,8000,800,Ground out of 4,2,Vip Road,1,1,2,1
147,147,2,5500,280,1 out of 3,1,New Barrakpur,1,1,2,1
148,148,3,20000,1100,Ground out of 2,1,"Thakurpukur, Kolkata",1,1,1,3
149,149,2,7000,950,Ground out of 2,1,Kaikhali,1,1,1,1
150,150,1,3500,250,1 out of 2,1,"Phool Bagan, Kankurgachi",1,2,1,1
151,151,2,5000,1000,Ground out of 2,2,Hindmotor,1,1,2,1
152,152,3,20000,1000,Ground out of 2,2,Salt Lake City Sector 1,1,2,1,2
153,153,2,7000,650,Ground out of 2,1,Howrah,1,1,1,1
154,154,2,10000,700,1 out of 2,1,Benia Pukur,1,1,1,2
155,155,2,7000,700,Ground out of 3,2,Baguiati,1,1,2,1
156,156,3,12000,1000,Ground out of 3,1,E M Bypass,1,2,1,2
157,157,2,14500,900,1 out of 4,2,"Panchanan Tola, Thakurpukur",1,1,2,2
158,158,1,6000,700,1 out of 2,1,"VIP Nagar, E M Bypass",1,1,1,1
159,159,2,9500,700,1 out of 2,1,Jadavpur,1,1,1,2
160,160,2,10000,450,2 out of 1,2,Behala,1,2,1,2
161,161,1,3500,120,Ground out of 3,1,Dum Dum Cantonment,1,1,1,1
162,162,2,9000,800,1 out of 2,1,"New Garia, Garia",1,2,1,2
163,163,3,40000,1220,2 out of 3,2,Salt Lake City Sector 3,1,1,1,2
164,164,3,16500,1100,Ground out of 3,1,Mominpur,1,1,1,1
165,165,3,8000,700,Ground out of 3,2,"Halisahar Station Road, Kanchrapara",1,1,3,2
166,166,2,12000,800,Ground out of 3,1,Santoshpur,1,2,1,1
167,167,2,6500,670,2 out of 2,1,"Dunlop, Dakshineswar, Belgharia Expressway",1,1,3,1
168,168,4,40000,1300,1 out of 2,1,Ballygunge,1,1,1,3
169,169,1,5000,190,Ground out of 2,1,Baguihati,1,2,1,1
170,170,2,9000,700,Ground out of 2,1,Kabardanga,1,2,1,1
171,171,1,7000,240,Ground out of 4,2,Jadavpur,1,1,2,1
172,172,2,18000,850,2 out of 4,2,Behala Chowrasta,1,2,3,1
173,173,1,9000,950,1 out of 2,1,Haltu,1,1,1,2
174,174,1,5500,450,1 out of 2,2,Botanical Garden Area,1,2,1,1
175,175,2,7500,800,Ground out of 2,2,Bonhooghly,1,1,2,1
176,176,2,4000,600,1 out of 2,2,Nilgung Old Bazar,1,1,1,1
177,177,3,10500,800,2 out of 2,2,"Teghoria, Baguiati",1,1,2,2
178,178,3,15000,1100,Ground out of 2,2,Survey Park,1,1,1,2
179,179,2,15000,800,Ground out of 2,2,Baguiati,1,2,1,1
180,180,1,50000,2200,2 out of 5,1,Kanchrapara,1,2,1,3
181,181,2,12000,950,1 out of 1,2,"Jote Shibrampur, Joth Shibrampur",1,1,2,2
182,182,2,11000,550,2 out of 3,2,Ultadanga,1,1,1,1
183,183,2,12000,1800,1 out of 1,2,Birati,1,1,2,2
184,184,2,8000,1000,Ground out of 2,1,"Chinar Park, Rajarhat",1,2,1,1
185,185,2,18000,600,Ground out of 3,1,Bagha Jatin Pally,1,2,1,2
186,186,2,8000,750,2 out of 4,2,rishi aurobindo sarani neat NIOH hospital,1,2,1,2
187,187,2,7000,685,2 out of 3,1,Dum Dum Metro,1,1,1,1
188,188,1,6500,44,Ground out of 1,2,Baranagar,1,2,1,1
189,189,4,13000,1200,Ground out of 2,2,Tollygunge,1,1,1,1
190,190,2,9000,500,Ground out of 2,2,Airport Near Gate No. 21/2,1,1,2,1
191,191,4,10000,1110,2 out of 2,2,Purbasa,1,1,1,2
192,192,2,12000,1000,1 out of 3,1,Jadavpur,1,1,1,2
193,193,2,5000,392,Ground out of 2,1,Jadavpur,1,1,1,1
194,194,2,6000,700,1 out of 2,1,Barasat-Barrackpore Road,1,1,1,1
195,195,1,5200,750,2 out of 4,1,Keshtopur,1,1,1,1
196,196,3,15000,1500,1 out of 2,1,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",1,1,3,2
197,197,2,9000,900,Ground out of 1,1,Keshtopur,1,1,1,2
198,198,1,24000,710,1 out of 1,1,Salt Lake City Sector 1,1,2,2,1
199,199,1,5500,400,Ground out of 3,2,jadavpur central park east,1,1,1,1
200,200,1,10000,700,1 out of 2,2,Garia,1,1,2,1
201,201,2,15000,1000,Ground out of 2,2,Tn Chatterjee Street,1,2,1,1
202,202,1,4700,250,1 out of 2,1,Kaikhali,1,2,1,1
203,203,1,5000,500,Ground out of 3,2,Bata Nagar,1,2,1,1
204,204,2,5000,450,2 out of 2,2,Birati,1,2,1,1
205,205,3,15000,1400,1 out of 3,1,Survey Park,1,1,1,1
206,206,1,5000,500,1 out of 1,2,Bata Nagar,1,2,1,1
207,207,2,6000,700,Ground out of 1,2,Hatiara Extention,1,1,1,1
208,208,3,18000,1200,1 out of 3,2,Salt Lake City Sector 1,1,2,1,1
209,209,2,8000,450,1 out of 2,2,Andul,1,1,2,1
210,210,1,13000,500,2 out of 2,2,Salt Lake City Sector 2,1,2,2,1
211,211,2,7500,400,Ground out of 1,2,locality,1,1,1,1
212,212,3,12000,1000,Ground out of 1,1,Khardah,1,1,1,2
213,213,2,11000,750,Ground out of 1,2,Parnasree Pally,1,1,2,1
214,214,1,6000,450,Ground out of 2,1,Baghajatin,1,1,3,1
215,215,3,20000,1000,1 out of 2,2,Salt Lake City Sector 3,1,1,2,2
216,216,2,7000,500,1 out of 1,2,sarsuna banerjee para,1,1,2,2
217,217,4,30000,1600,Ground out of 1,2,Salt Lake City Sector 3,1,1,2,2
218,218,2,7500,550,Ground out of 1,2,Near Seven Tanks Road Dumdum Station,1,1,2,1
219,219,1,6500,550,1 out of 2,1,Jyangra,1,1,1,2
220,220,1,3000,200,2 out of 3,1,Barasat,1,1,1,1
221,221,2,5200,650,1 out of 2,2,Sukchar,1,1,2,1
222,222,2,25000,1000,1 out of 1,1,"Tagore Park, Kasba",1,2,1,2
223,223,2,12500,680,Ground out of 2,2,Barrackpore,1,1,1,2
224,224,2,8500,720,Ground out of 1,2,"Silpara, Purba Barisha",1,1,1,2
225,225,2,3500,500,4 out of 5,2,Konnagar,1,1,2,1
226,226,2,7000,800,Ground out of 2,1,Madhyam Gram,1,1,1,1
227,227,1,3000,160,Ground out of 1,1,"Kudghat, Ashok Nagar",1,1,1,1
228,228,2,14000,1200,1 out of 2,2,Salt Lake City Sector 5,1,1,1,2
229,229,1,18000,700,Ground out of 4,1,Salt Lake City Sector 3,1,2,1,1
230,230,1,3500,1000,Ground out of 1,1,Dum Dum Cantonment,1,2,1,1
231,231,2,16000,1250,Ground out of 1,1,Kasba,1,1,1,2
232,232,4,35000,1600,Ground out of 3,1,Salt Lake City,1,1,1,3
233,233,2,21000,700,Ground out of 2,1,Lake Gardens,1,2,1,1
234,234,1,4500,450,Ground out of 2,1,"Silpara, Purba Barisha",1,1,1,1
235,235,2,15000,839,1 out of 3,1,Howrah,1,2,1,2
236,236,1,4500,230,Ground out of 3,1,Birati,1,1,1,1
237,237,1,5500,1800,Ground out of 2,1,Baranagar,1,1,1,1
238,238,2,8500,800,1 out of 2,1,Baguihati,1,1,1,2
239,239,1,5000,500,Ground out of 1,2,BRAHMAPUR NEAR BANSDRONI,1,2,1,1
240,240,2,8500,620,Ground out of 1,2,Kasba,1,1,2,1
241,241,2,9000,650,2 out of 3,2,tollygunge Kabardanga,1,1,1,1
242,242,1,7500,550,1 out of 2,1,"Naktala, Garia",1,2,1,1
243,243,2,7000,450,1 out of 3,2,safuipara,1,2,2,2
244,244,3,15000,1350,1 out of 2,2,"Annapurna Apartment, Rajarhat Chowmatha",1,1,3,2
245,245,2,7000,600,2 out of 2,1,"Park Circus, Ballygunge",1,2,1,2
246,246,3,10000,1200,2 out of 4,1,Belghoria,1,2,1,1
247,247,2,7000,700,1 out of 2,1,"Haridevpur, Paschim Putiary",1,1,1,1
248,248,3,3200,800,1 out of 3,2,Bhawanipur,1,2,1,2
249,249,2,6000,600,Ground out of 3,2,Santoshpur,1,2,1,1
250,250,2,12000,900,1 out of 3,1,Tollygunge,1,1,1,2
251,251,2,6000,750,Ground out of 1,1,Behala,1,1,1,1
252,252,3,10000,1250,1 out of 2,1,Jaffarpore Rifle Range Road,1,1,1,2
253,253,3,12000,1000,2 out of 2,1,Dariya,1,2,1,3
254,254,2,8000,600,Ground out of 2,1,Howrah,1,2,1,1
255,255,2,5300,650,1 out of 1,2,Sodepur,1,1,1,1
256,256,2,5000,450,2 out of 3,2,Liluah,1,1,2,1
257,257,3,8500,800,Ground out of 2,1,Near DumDum Metro,1,1,1,2
258,258,3,22000,1000,Ground out of 3,2,"Sukanta Nagar, New Barrakpur",1,2,1,2
259,259,2,7000,1000,Ground out of 3,1,"Kumarpara, Narendrapur",1,1,1,1
260,260,3,25000,1400,5 out of 5,2,Salt Lake City,1,2,2,3
261,261,2,7000,600,1 out of 4,2,Barrackpore,1,2,2,1
262,262,2,15000,723,Ground out of 3,2,Narendrapur,1,2,3,1
263,263,1,6000,320,Ground out of 2,2,Sahid Nagar,1,1,1,1
264,264,2,8000,900,Ground out of 3,1,Belghoria,1,2,1,1
265,265,3,40000,1400,Ground out of 2,2,Salt Lake City Sector 2,1,2,1,2
266,266,1,6000,2160,1 out of 2,1,Kasba,1,2,2,1
267,267,2,15000,650,Ground out of 2,2,kasba bosepukur,1,2,1,1
268,268,2,6500,800,1 out of 1,1,Kanchrapara,1,2,1,1
269,269,3,8000,800,2 out of 3,1,Bansdroni,1,2,1,1
270,270,1,5500,500,Ground out of 2,2,"Garia Station, Garia",1,1,1,1
271,271,3,9000,1700,1 out of 2,1,Panchanantala Road,1,2,1,2
272,272,1,6000,130,Ground out of 2,2,Bow Bazar,1,2,1,1
273,273,1,15000,505,Ground out of 3,1,Kasba,1,2,1,1
274,274,4,30000,4000,Ground out of 3,1,"Sakher Bazar, Purba Barisha",1,2,1,3
275,275,3,30000,1250,Ground out of 2,1,New Alipore,1,1,1,2
276,276,1,5000,700,Ground out of 2,2,My Own House,1,1,1,1
277,277,2,15000,900,Ground out of 1,1,"Park Circus, Ballygunge",1,1,2,1
278,278,1,6500,650,1 out of 1,1,Joka,1,2,1,1
279,279,2,4500,750,Ground out of 1,1,Azadgarh,1,2,1,1
280,280,2,7000,450,Ground out of 3,2,Mandirtala,1,1,1,1
281,281,1,6500,350,1 out of 2,2,Dhakuria,1,2,1,1
282,282,1,17500,480,1 out of 2,2,Rabindra Sarovar Metro,1,2,2,2
283,283,2,10000,900,Ground out of 3,1,Garia,1,1,1,1
284,284,1,1500,200,Ground out of 2,1,Santoshpur,1,2,1,1
285,285,3,25000,1100,2 out of 3,1,"Regent Estate, Bijoygarh",1,1,1,3
286,286,2,12000,800,1 out of 2,2,Kasba,1,1,1,1
287,287,3,7500,1000,Ground out of 2,2,south station pally dankuni,1,2,1,2
288,288,1,7000,800,1 out of 2,2,Kumargali,1,1,1,1
289,289,1,3500,200,Upper Basement out of 4,1,Baguihati,1,2,1,1
290,290,3,10000,1190,1 out of 2,2,Sarsuna,1,1,1,2
291,291,2,14000,900,Ground out of 2,2,Salt Lake City,1,1,2,2
292,292,2,15000,1500,Ground out of 2,1,Garia,1,1,1,2
293,293,2,6500,600,2 out of 3,1,Thakurpukur,1,1,1,1
294,294,3,10000,800,Ground out of 4,1,Brahmapur,1,1,1,1
295,295,2,10500,800,1 out of 2,2,Santoshpur,1,1,3,2
296,296,3,10000,900,Ground out of 3,2,Garia,1,2,1,2
297,297,1,5000,350,Ground out of 3,2,Purba Barisha,1,2,1,1
298,298,2,9000,800,Ground out of 2,2,Sodepur,1,1,1,1
299,299,2,20000,1600,Ground out of 3,2,Jadavpur University,1,1,2,2
300,300,3,35000,1012,2 out of 3,2,Salt Lake City Sector 1,1,2,1,2
301,301,3,15000,1200,Ground out of 2,2,"Pathak Para, Behala",1,1,2,2
302,302,2,20000,700,1 out of 2,1,Salt Lake City Sector 1,1,2,1,1
303,303,2,12000,1000,1 out of 3,1,Behala,1,2,1,1
304,304,2,8000,800,Ground out of 3,2,Thakurpukur,1,1,2,1
305,305,1,3000,500,Ground out of 1,1,Hatiara,1,2,1,1
306,306,3,20000,1200,Ground out of 1,2,"Haridevpur, Paschim Putiary",1,2,2,2
307,307,1,9000,450,Ground out of 2,2,Salt Lake City Sector 2,1,1,2,1
308,308,3,13000,950,Ground out of 2,2,"Rabindrapally, Garia",1,1,1,2
309,309,1,7000,350,Ground out of 2,2,Salt Lake City Sector 5,1,1,1,1
310,310,1,9000,450,Ground out of 3,2,Salt Lake City Sector 5,1,1,1,1
311,311,1,9000,550,Ground out of 2,2,"Bangur Avenue, Lake Town",1,2,2,1
312,312,2,10000,300,Ground out of 1,2,Keshtopur,1,1,2,1
313,313,3,15000,1250,Ground out of 3,1,"Sakher Bazar, Purba Barisha",1,2,1,2
314,314,2,7000,700,2 out of 3,1,Garia,1,1,1,1
315,315,3,8000,812,Ground out of 3,1,Hooghly,1,1,1,2
316,316,2,8000,550,Ground out of 2,1,"Kalabagan, Tollygunge",1,1,1,1
317,317,1,5000,500,Ground out of 1,1,Rishra,1,2,1,1
318,318,1,14000,320,1 out of 2,2,"Action Area 3, Rajarhat Newtown",1,2,2,1
319,319,2,5000,600,Ground out of 2,1,"Anandapuri, Barrackpore",1,1,1,1
320,320,2,5000,420,Ground out of 2,2,Barasat,1,1,2,1
321,321,3,12000,1100,Ground out of 2,1,Rabindrapally Kestopur,1,1,2,1
322,322,1,3200,220,3 out of 4,1,Sodepur,1,1,1,1
323,323,2,8500,700,Ground out of 2,2,Nungi More,1,2,1,2
324,324,3,16000,1200,Ground out of 2,2,"Baishnabghata, Garia",1,1,1,2
325,325,2,14000,800,Ground out of 3,2,Santoshpur - EM Bypass,1,1,1,2
326,326,1,8000,300,Ground out of 1,2,Bansdroni,1,2,2,1
327,327,2,7000,650,Ground out of 2,2,Baruipur,1,1,1,1
328,328,1,8000,600,1 out of 2,1,Garia,1,2,1,1
329,329,1,3000,350,Ground out of 3,1,Belghoria,1,1,1,1
330,330,1,3800,500,1 out of 3,2,Nalta,1,1,2,1
331,331,1,6500,400,1 out of 1,1,"Vivek Nagar, Garfa",1,1,1,1
332,332,3,20000,1750,Ground out of 3,1,Kalindi,1,2,1,3
333,333,3,30000,1600,3 out of 3,1,Ballygunge,1,1,1,2
334,334,1,8000,300,Ground out of 2,2,Salt Lake City Sector 5,1,2,1,1
335,335,2,14000,1100,1 out of 3,1,"Survey park, Santoshpur, kolkata",1,2,1,2
336,336,2,7200,830,Ground out of 3,1,Sodepur,1,1,1,1
337,337,2,7000,600,Ground out of 2,2,2 BHK,1,2,1,2
338,338,1,7000,500,1 out of 2,1,Baranagar,1,1,2,2
339,339,2,7500,900,1 out of 2,2,Dum Dum Cantonment,1,1,1,1
340,340,2,8500,1250,Ground out of 1,2,Barasat,1,1,3,2
341,341,2,12000,700,Ground out of 2,2,Salt Lake City Sector 2,1,1,2,1
342,342,1,8500,850,Ground out of 1,2,Dakshineswar,1,1,2,2
343,343,2,9500,550,Ground out of 1,2,"Garia Station, Garia",1,1,1,1
344,344,2,7500,550,Ground out of 1,2,"New Garia Metro, New Garia",1,2,1,2
345,345,2,12000,1200,Ground out of 1,1,Hati Bagan - Bansdroni,1,1,1,1
346,346,3,20000,1100,Ground out of 1,2,Salt Lake City Sector 2,1,1,2,2
347,347,2,8500,650,Ground out of 1,1,Howrah,1,2,1,1
348,348,3,20000,1050,Ground out of 1,2,Salt Lake City Sector 2,1,1,2,2
349,349,2,6000,960,Ground out of 2,1,Dum Dum,1,2,1,2
350,350,2,5500,650,1 out of 1,2,Joka,1,1,1,2
351,351,1,7000,550,Ground out of 2,1,Kasba,1,2,1,1
352,352,2,7000,500,Ground out of 1,1,Dum Dum Metro,1,2,1,2
353,353,1,6500,450,3 out of 4,1,"Baishnabghata Patuli Township, Patuli",1,1,3,1
354,354,2,10000,850,1 out of 2,1,Agarpara,1,1,2,2
355,355,1,5200,300,Ground out of 3,2,Dum Dum,1,1,1,1
356,356,2,13000,1000,1 out of 2,2,"N.S.C Bose Road (Near Ushagate), New Alipore",1,2,1,3
357,357,2,7000,500,1 out of 3,2,Garia,1,1,1,1
358,358,2,12000,756,Ground out of 3,2,Dashadron Newtown Rajarhat,1,2,1,1
359,359,1,15000,1000,2 out of 3,1,Barrackpore,1,1,1,1
