,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
58,2,7000,650,Ground out of 3,1,"Amtala, Diamond Harbour Road",1,2,Bachelors/Family,2
59,2,8500,720,4 out of 4,2,"Shrachi Village, Madhyam Gram",1,2,Bachelors/Family,2
60,1,5000,300,1 out of 3,2,Kasba,1,1,Bachelors,1
61,3,30000,1200,Ground out of 2,2,VIP Road Haldiram,1,1,Bachelors/Family,3
62,2,10000,700,7 out of 8,2,Sarsuna,1,1,Bachelors/Family,2
63,3,30000,2000,1 out of 3,1,Naihati,1,2,Bachelors/Family,2
64,1,3500,250,Ground out of 4,1,Baksara,1,2,Bachelors/Family,1
65,2,8000,1100,Ground out of 3,2,Naihati,1,1,Bachelors,1
66,1,5000,300,Ground out of 2,2,Kasba,1,1,Bachelors/Family,1
67,2,7500,600,Ground out of 2,1,"Amtala, Diamond Harbour Road",1,2,Bachelors/Family,1
68,2,6500,800,Ground out of 2,2,"Chak Thakurani, Thakurpukur",1,1,Bachelors/Family,1
69,1,7500,680,1 out of 3,1,Jadavpur,1,1,Bachelors/Family,1
70,1,7500,680,Ground out of 2,1,Jadavpur,1,1,Bachelors/Family,1
71,2,16000,850,1 out of 4,2,Salt Lake City Sector 1,1,2,Bachelors,1
72,2,16000,850,1 out of 2,2,Salt Lake City Sector 1,1,2,Bachelors,1
73,2,6500,700,Ground out of 2,1,Bandel,1,1,Bachelors,1
74,3,40000,1500,Ground out of 2,1,Beliaghata,1,1,Bachelors/Family,2
75,2,12500,950,1 out of 4,1,"Magnolia Prestige, Rajarhat",1,2,Bachelors/Family,2
76,2,5500,500,Ground out of 2,1,"Baishnabghata Patuli Township, Patuli",1,1,Bachelors/Family,1
77,1,5000,450,2 out of 4,2,"Dum Dum Heights, Jessore Road",1,2,Bachelors/Family,1
78,2,6500,700,Ground out of 2,1,Sonarpur,1,1,Bachelors,1
79,1,8000,500,1 out of 2,1,Lake Town,1,1,Bachelors/Family,1
80,3,14500,1800,Ground out of 2,1,Belghoria,1,2,Bachelors/Family,2
81,1,8200,500,1 out of 3,2,"Rabindra Pally, Keshtopur",1,2,Bachelors/Family,1
82,2,15000,480,Ground out of 3,2,shukhobrishti,1,2,Bachelors/Family,2
83,2,6700,800,1 out of 2,1,"Baishnavghata patuli , house number s-300 Kolkata 700094",1,2,Bachelors/Family,1
84,1,10000,435,2 out of 3,1,Kasba,1,1,Bachelors/Family,1
85,2,7000,700,Ground out of 2,2,Dum Dum Metro,1,2,Bachelors/Family,2
86,2,22000,800,4 out of 4,1,"Hazra, Kalighat",1,2,Bachelors/Family,1
87,2,6500,450,1 out of 3,1,Ajoy Nagar,1,1,Bachelors/Family,1
88,2,8500,550,2 out of 3,2,Kasba -East,1,2,Bachelors/Family,1
89,2,18000,800,Ground out of 4,2,Salt Lake City,1,1,Bachelors,2
90,2,12000,550,Ground out of 2,2,Baghajatin,1,2,Family,2
91,1,9000,600,2 out of 4,1,Behala,1,2,Bachelors/Family,1
92,1,6000,500,Ground out of 1,1,"New Garia, Garia",1,1,Bachelors/Family,1
93,2,20000,1000,1 out of 2,1,Anandapur,1,2,Bachelors/Family,2
94,1,5000,300,1 out of 2,2,Dum Dum Metro,1,1,Bachelors/Family,1
95,2,12000,1200,1 out of 3,1,Boral,1,2,Bachelors/Family,2
96,2,10000,500,3 out of 4,2,"Rabindra Pally, Keshtopur",1,2,Bachelors/Family,1
97,4,18000,1200,1 out of 2,1,Bagbazar,1,1,Family,2
98,2,15000,900,1 out of 2,2,Salt Lake City Sector 1,1,2,Bachelors/Family,2
99,3,22000,1300,Ground out of 2,2,Salt Lake City Sector 2,1,1,Bachelors/Family,3
100,4,35000,1600,1 out of 5,2,Salt Lake City Sector 3,1,1,Bachelors/Family,3
101,3,21000,1450,Ground out of 1,1,Ajoy Nagar,1,1,Family,2
102,2,25000,1100,2 out of 2,1,"Action Area 1, Rajarhat Newtown",1,2,Bachelors,2
103,2,180000,950,Ground out of 1,2,"Avenue S, Santoshpur",1,1,Bachelors/Family,2
104,1,6000,600,8 out of 5,2,Pratiraksha Nagar,1,1,Bachelors/Family,1
105,2,14000,700,Ground out of 2,2,"Kudghat, Ashok Nagar",1,1,Bachelors/Family,2
106,3,8000,750,Ground out of 2,1,"Sakher Bazar, Purba Barisha",1,1,Family,1
107,2,8000,1000,Ground out of 1,1,"Purbasan, Thakurpukur",1,1,Bachelors/Family,1
108,1,6000,220,Ground out of 2,1,"Bidhan Pally, Bansdroni",1,2,Bachelors/Family,1
109,1,8000,300,1 out of 3,2,"Naktala, Garia",1,2,Bachelors,1
110,1,6000,300,Ground out of 1,2,Tiljala Road,1,1,Bachelors/Family,1
111,1,20000,700,1 out of 2,1,Sankaritola,1,2,Bachelors/Family,1
112,3,12000,800,Ground out of 1,1,"Parnashree Lake, Behala",1,1,Bachelors/Family,2
113,3,15000,1600,1 out of 3,1,Garia,1,1,Bachelors/Family,2
114,2,14000,1000,1 out of 3,2,Kasba,1,1,Bachelors/Family,2
115,1,5000,20,2 out of 3,1,Dakshineswar,1,1,Bachelors/Family,1
116,2,7000,400,Ground out of 2,2,chatana,1,1,Bachelors/Family,1
117,1,3900,200,2 out of 2,1,Shyam Bazar,1,2,Bachelors/Family,1
118,3,14000,840,1 out of 4,2,Mukundapur,1,1,Bachelors,2
119,1,6300,300,1 out of 1,2,Salt Lake City Sector 5,1,1,Bachelors/Family,1
120,2,13000,550,1 out of 2,2,Salt Lake City Sector 5,1,2,Bachelors/Family,2
121,1,6800,300,1 out of 2,2,Salt Lake City Sector 5,1,1,Bachelors/Family,1
122,2,8000,800,1 out of 1,1,Behala Chowrasta,1,1,Bachelors/Family,2
123,2,10000,740,Ground out of 6,2,Sonarpur,1,1,Bachelors,1
124,2,18000,1300,1 out of 1,1,Santoshpur,1,1,Bachelors/Family,2
125,2,8000,650,Ground out of 1,1,"Garia Station, Garia",1,2,Bachelors/Family,1
126,2,8000,490,1 out of 1,1,Entally,1,2,Bachelors/Family,1
127,1,4700,250,2 out of 2,1,Kaikhali,1,2,Bachelors/Family,1
128,1,4700,250,Ground out of 1,1,"Dash Drone, Rajarhat Newtown",1,2,Bachelors/Family,1
129,1,4500,450,1 out of 2,1,"Rabindra Pally, Keshtopur",1,1,Bachelors/Family,1
130,1,6000,300,Ground out of 1,2,Salt Lake City Sector 1,1,2,Bachelors/Family,1
131,2,16000,750,1 out of 3,1,"Rajdanga Gardens, Kasba",1,1,Bachelors/Family,2
132,1,4700,250,1 out of 2,1,Kaikhali,1,2,Bachelors/Family,1
133,2,14000,751,3 out of 3,2,Baghajatin,1,1,Bachelors,1
134,2,9000,900,Ground out of 2,2,Lake Town,1,2,Bachelors,1
135,2,5000,400,1 out of 3,2,Keshtopur,1,2,Bachelors/Family,1
136,2,17500,1000,Ground out of 2,2,Salt Lake City,1,2,Bachelors/Family,2
137,2,8500,1000,Ground out of 1,2,South Baksara,1,1,Bachelors/Family,1
138,3,15000,1500,1 out of 1,2,"Chandannagar, Hooghly-Chinsurah",1,2,Family,2
139,2,12500,750,1 out of 3,2,"Sukhpally, Haltu",1,1,Bachelors/Family,2
140,1,13000,1200,2 out of 4,1,Kasba,1,2,Bachelors/Family,1
141,2,8000,700,Ground out of 1,1,"Sakher Bazar, Purba Barisha",1,1,Bachelors/Family,1
142,2,8000,700,4 out of 4,2,Garia Dhalua Nabapally,1,2,Bachelors/Family,1
143,2,8000,1000,Ground out of 2,1,"Chinar Park, Rajarhat",1,2,Bachelors/Family,1
144,2,7000,1200,1 out of 3,1,Konnagar,1,1,Bachelors/Family,2
145,2,2200,550,2 out of 3,1,Behala silpara,1,2,Bachelors/Family,1
146,2,8000,800,Ground out of 4,2,Vip Road,1,1,Bachelors,1
147,2,5500,280,1 out of 3,1,New Barrakpur,1,1,Bachelors,1
148,3,20000,1100,Ground out of 2,1,"Thakurpukur, Kolkata",1,1,Bachelors/Family,3
149,2,7000,950,Ground out of 2,1,Kaikhali,1,1,Bachelors/Family,1
150,1,3500,250,1 out of 2,1,"Phool Bagan, Kankurgachi",1,2,Bachelors/Family,1
151,2,5000,1000,Ground out of 2,2,Hindmotor,1,1,Bachelors,1
152,3,20000,1000,Ground out of 2,2,Salt Lake City Sector 1,1,2,Bachelors/Family,2
153,2,7000,650,Ground out of 2,1,Howrah,1,1,Bachelors/Family,1
154,2,10000,700,1 out of 2,1,Benia Pukur,1,1,Bachelors/Family,2
155,2,7000,700,Ground out of 3,2,Baguiati,1,1,Bachelors,1
156,3,12000,1000,Ground out of 3,1,E M Bypass,1,2,Bachelors/Family,2
157,2,14500,900,1 out of 4,2,"Panchanan Tola, Thakurpukur",1,1,Bachelors,2
158,1,6000,700,1 out of 2,1,"VIP Nagar, E M Bypass",1,1,Bachelors/Family,1
159,2,9500,700,1 out of 2,1,Jadavpur,1,1,Bachelors/Family,2
160,2,10000,450,2 out of 1,2,Behala,1,2,Bachelors/Family,2
161,1,3500,120,Ground out of 3,1,Dum Dum Cantonment,1,1,Bachelors/Family,1
162,2,9000,800,1 out of 2,1,"New Garia, Garia",1,2,Bachelors/Family,2
163,3,40000,1220,2 out of 3,2,Salt Lake City Sector 3,1,1,Bachelors/Family,2
164,3,16500,1100,Ground out of 3,1,Mominpur,1,1,Bachelors/Family,1
165,3,8000,700,Ground out of 3,2,"Halisahar Station Road, Kanchrapara",1,1,Family,2
166,2,12000,800,Ground out of 3,1,Santoshpur,1,2,Bachelors/Family,1
167,2,6500,670,2 out of 2,1,"Dunlop, Dakshineswar, Belgharia Expressway",1,1,Family,1
168,4,40000,1300,1 out of 2,1,Ballygunge,1,1,Bachelors/Family,3
169,1,5000,190,Ground out of 2,1,Baguihati,1,2,Bachelors/Family,1
170,2,9000,700,Ground out of 2,1,Kabardanga,1,2,Bachelors/Family,1
171,1,7000,240,Ground out of 4,2,Jadavpur,1,1,Bachelors,1
172,2,18000,850,2 out of 4,2,Behala Chowrasta,1,2,Family,1
173,1,9000,950,1 out of 2,1,Haltu,1,1,Bachelors/Family,2
174,1,5500,450,1 out of 2,2,Botanical Garden Area,1,2,Bachelors/Family,1
175,2,7500,800,Ground out of 2,2,Bonhooghly,1,1,Bachelors,1
176,2,4000,600,1 out of 2,2,Nilgung Old Bazar,1,1,Bachelors/Family,1
177,3,10500,800,2 out of 2,2,"Teghoria, Baguiati",1,1,Bachelors,2
178,3,15000,1100,Ground out of 2,2,Survey Park,1,1,Bachelors/Family,2
179,2,15000,800,Ground out of 2,2,Baguiati,1,2,Bachelors/Family,1
180,1,50000,2200,2 out of 5,1,Kanchrapara,1,2,Bachelors/Family,3
181,2,12000,950,1 out of 1,2,"Jote Shibrampur, Joth Shibrampur",1,1,Bachelors,2
182,2,11000,550,2 out of 3,2,Ultadanga,1,1,Bachelors/Family,1
183,2,12000,1800,1 out of 1,2,Birati,1,1,Bachelors,2
184,2,8000,1000,Ground out of 2,1,"Chinar Park, Rajarhat",1,2,Bachelors/Family,1
185,2,18000,600,Ground out of 3,1,Bagha Jatin Pally,1,2,Bachelors/Family,2
186,2,8000,750,2 out of 4,2,rishi aurobindo sarani neat NIOH hospital,1,2,Bachelors/Family,2
187,2,7000,685,2 out of 3,1,Dum Dum Metro,1,1,Bachelors/Family,1
188,1,6500,44,Ground out of 1,2,Baranagar,1,2,Bachelors/Family,1
189,4,13000,1200,Ground out of 2,2,Tollygunge,1,1,Bachelors/Family,1
190,2,9000,500,Ground out of 2,2,Airport Near Gate No. 21/2,1,1,Bachelors,1
191,4,10000,1110,2 out of 2,2,Purbasa,1,1,Bachelors/Family,2
192,2,12000,1000,1 out of 3,1,Jadavpur,1,1,Bachelors/Family,2
193,2,5000,392,Ground out of 2,1,Jadavpur,1,1,Bachelors/Family,1
194,2,6000,700,1 out of 2,1,Barasat-Barrackpore Road,1,1,Bachelors/Family,1
195,1,5200,750,2 out of 4,1,Keshtopur,1,1,Bachelors/Family,1
196,3,15000,1500,1 out of 2,1,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",1,1,Family,2
197,2,9000,900,Ground out of 1,1,Keshtopur,1,1,Bachelors/Family,2
198,1,24000,710,1 out of 1,1,Salt Lake City Sector 1,1,2,Bachelors,1
199,1,5500,400,Ground out of 3,2,jadavpur central park east,1,1,Bachelors/Family,1
200,1,10000,700,1 out of 2,2,Garia,1,1,Bachelors,1
201,2,15000,1000,Ground out of 2,2,Tn Chatterjee Street,1,2,Bachelors/Family,1
202,1,4700,250,1 out of 2,1,Kaikhali,1,2,Bachelors/Family,1
203,1,5000,500,Ground out of 3,2,Bata Nagar,1,2,Bachelors/Family,1
204,2,5000,450,2 out of 2,2,Birati,1,2,Bachelors/Family,1
205,3,15000,1400,1 out of 3,1,Survey Park,1,1,Bachelors/Family,1
206,1,5000,500,1 out of 1,2,Bata Nagar,1,2,Bachelors/Family,1
207,2,6000,700,Ground out of 1,2,Hatiara Extention,1,1,Bachelors/Family,1
208,3,18000,1200,1 out of 3,2,Salt Lake City Sector 1,1,2,Bachelors/Family,1
209,2,8000,450,1 out of 2,2,Andul,1,1,Bachelors,1
210,1,13000,500,2 out of 2,2,Salt Lake City Sector 2,1,2,Bachelors,1
211,2,7500,400,Ground out of 1,2,locality,1,1,Bachelors/Family,1
212,3,12000,1000,Ground out of 1,1,Khardah,1,1,Bachelors/Family,2
213,2,11000,750,Ground out of 1,2,Parnasree Pally,1,1,Bachelors,1
214,1,6000,450,Ground out of 2,1,Baghajatin,1,1,Family,1
215,3,20000,1000,1 out of 2,2,Salt Lake City Sector 3,1,1,Bachelors,2
216,2,7000,500,1 out of 1,2,sarsuna banerjee para,1,1,Bachelors,2
217,4,30000,1600,Ground out of 1,2,Salt Lake City Sector 3,1,1,Bachelors,2
218,2,7500,550,Ground out of 1,2,Near Seven Tanks Road Dumdum Station,1,1,Bachelors,1
219,1,6500,550,1 out of 2,1,Jyangra,1,1,Bachelors/Family,2
220,1,3000,200,2 out of 3,1,Barasat,1,1,Bachelors/Family,1
221,2,5200,650,1 out of 2,2,Sukchar,1,1,Bachelors,1
222,2,25000,1000,1 out of 1,1,"Tagore Park, Kasba",1,2,Bachelors/Family,2
223,2,12500,680,Ground out of 2,2,Barrackpore,1,1,Bachelors/Family,2
224,2,8500,720,Ground out of 1,2,"Silpara, Purba Barisha",1,1,Bachelors/Family,2
225,2,3500,500,4 out of 5,2,Konnagar,1,1,Bachelors,1
226,2,7000,800,Ground out of 2,1,Madhyam Gram,1,1,Bachelors/Family,1
227,1,3000,160,Ground out of 1,1,"Kudghat, Ashok Nagar",1,1,Bachelors/Family,1
228,2,14000,1200,1 out of 2,2,Salt Lake City Sector 5,1,1,Bachelors/Family,2
229,1,18000,700,Ground out of 4,1,Salt Lake City Sector 3,1,2,Bachelors/Family,1
230,1,3500,1000,Ground out of 1,1,Dum Dum Cantonment,1,2,Bachelors/Family,1
231,2,16000,1250,Ground out of 1,1,Kasba,1,1,Bachelors/Family,2
232,4,35000,1600,Ground out of 3,1,Salt Lake City,1,1,Bachelors/Family,3
233,2,21000,700,Ground out of 2,1,Lake Gardens,1,2,Bachelors/Family,1
234,1,4500,450,Ground out of 2,1,"Silpara, Purba Barisha",1,1,Bachelors/Family,1
235,2,15000,839,1 out of 3,1,Howrah,1,2,Bachelors/Family,2
236,1,4500,230,Ground out of 3,1,Birati,1,1,Bachelors/Family,1
237,1,5500,1800,Ground out of 2,1,Baranagar,1,1,Bachelors/Family,1
238,2,8500,800,1 out of 2,1,Baguihati,1,1,Bachelors/Family,2
239,1,5000,500,Ground out of 1,2,BRAHMAPUR NEAR BANSDRONI,1,2,Bachelors/Family,1
240,2,8500,620,Ground out of 1,2,Kasba,1,1,Bachelors,1
241,2,9000,650,2 out of 3,2,tollygunge Kabardanga,1,1,Bachelors/Family,1
242,1,7500,550,1 out of 2,1,"Naktala, Garia",1,2,Bachelors/Family,1
243,2,7000,450,1 out of 3,2,safuipara,1,2,Bachelors,2
244,3,15000,1350,1 out of 2,2,"Annapurna Apartment, Rajarhat Chowmatha",1,1,Family,2
245,2,7000,600,2 out of 2,1,"Park Circus, Ballygunge",1,2,Bachelors/Family,2
246,3,10000,1200,2 out of 4,1,Belghoria,1,2,Bachelors/Family,1
247,2,7000,700,1 out of 2,1,"Haridevpur, Paschim Putiary",1,1,Bachelors/Family,1
248,3,3200,800,1 out of 3,2,Bhawanipur,1,2,Bachelors/Family,2
249,2,6000,600,Ground out of 3,2,Santoshpur,1,2,Bachelors/Family,1
250,2,12000,900,1 out of 3,1,Tollygunge,1,1,Bachelors/Family,2
251,2,6000,750,Ground out of 1,1,Behala,1,1,Bachelors/Family,1
252,3,10000,1250,1 out of 2,1,Jaffarpore Rifle Range Road,1,1,Bachelors/Family,2
253,3,12000,1000,2 out of 2,1,Dariya,1,2,Bachelors/Family,3
254,2,8000,600,Ground out of 2,1,Howrah,1,2,Bachelors/Family,1
255,2,5300,650,1 out of 1,2,Sodepur,1,1,Bachelors/Family,1
256,2,5000,450,2 out of 3,2,Liluah,1,1,Bachelors,1
257,3,8500,800,Ground out of 2,1,Near DumDum Metro,1,1,Bachelors/Family,2
258,3,22000,1000,Ground out of 3,2,"Sukanta Nagar, New Barrakpur",1,2,Bachelors/Family,2
259,2,7000,1000,Ground out of 3,1,"Kumarpara, Narendrapur",1,1,Bachelors/Family,1
260,3,25000,1400,5 out of 5,2,Salt Lake City,1,2,Bachelors,3
261,2,7000,600,1 out of 4,2,Barrackpore,1,2,Bachelors,1
262,2,15000,723,Ground out of 3,2,Narendrapur,1,2,Family,1
263,1,6000,320,Ground out of 2,2,Sahid Nagar,1,1,Bachelors/Family,1
264,2,8000,900,Ground out of 3,1,Belghoria,1,2,Bachelors/Family,1
265,3,40000,1400,Ground out of 2,2,Salt Lake City Sector 2,1,2,Bachelors/Family,2
266,1,6000,2160,1 out of 2,1,Kasba,1,2,Bachelors,1
267,2,15000,650,Ground out of 2,2,kasba bosepukur,1,2,Bachelors/Family,1
268,2,6500,800,1 out of 1,1,Kanchrapara,1,2,Bachelors/Family,1
269,3,8000,800,2 out of 3,1,Bansdroni,1,2,Bachelors/Family,1
270,1,5500,500,Ground out of 2,2,"Garia Station, Garia",1,1,Bachelors/Family,1
271,3,9000,1700,1 out of 2,1,Panchanantala Road,1,2,Bachelors/Family,2
272,1,6000,130,Ground out of 2,2,Bow Bazar,1,2,Bachelors/Family,1
273,1,15000,505,Ground out of 3,1,Kasba,1,2,Bachelors/Family,1
274,4,30000,4000,Ground out of 3,1,"Sakher Bazar, Purba Barisha",1,2,Bachelors/Family,3
275,3,30000,1250,Ground out of 2,1,New Alipore,1,1,Bachelors/Family,2
276,1,5000,700,Ground out of 2,2,My Own House,1,1,Bachelors/Family,1
277,2,15000,900,Ground out of 1,1,"Park Circus, Ballygunge",1,1,Bachelors,1
278,1,6500,650,1 out of 1,1,Joka,1,2,Bachelors/Family,1
279,2,4500,750,Ground out of 1,1,Azadgarh,1,2,Bachelors/Family,1
280,2,7000,450,Ground out of 3,2,Mandirtala,1,1,Bachelors/Family,1
281,1,6500,350,1 out of 2,2,Dhakuria,1,2,Bachelors/Family,1
282,1,17500,480,1 out of 2,2,Rabindra Sarovar Metro,1,2,Bachelors,2
283,2,10000,900,Ground out of 3,1,Garia,1,1,Bachelors/Family,1
284,1,1500,200,Ground out of 2,1,Santoshpur,1,2,Bachelors/Family,1
285,3,25000,1100,2 out of 3,1,"Regent Estate, Bijoygarh",1,1,Bachelors/Family,3
286,2,12000,800,1 out of 2,2,Kasba,1,1,Bachelors/Family,1
287,3,7500,1000,Ground out of 2,2,south station pally dankuni,1,2,Bachelors/Family,2
288,1,7000,800,1 out of 2,2,Kumargali,1,1,Bachelors/Family,1
289,1,3500,200,Upper Basement out of 4,1,Baguihati,1,2,Bachelors/Family,1
290,3,10000,1190,1 out of 2,2,Sarsuna,1,1,Bachelors/Family,2
291,2,14000,900,Ground out of 2,2,Salt Lake City,1,1,Bachelors,2
292,2,15000,1500,Ground out of 2,1,Garia,1,1,Bachelors/Family,2
293,2,6500,600,2 out of 3,1,Thakurpukur,1,1,Bachelors/Family,1
294,3,10000,800,Ground out of 4,1,Brahmapur,1,1,Bachelors/Family,1
295,2,10500,800,1 out of 2,2,Santoshpur,1,1,Family,2
296,3,10000,900,Ground out of 3,2,Garia,1,2,Bachelors/Family,2
297,1,5000,350,Ground out of 3,2,Purba Barisha,1,2,Bachelors/Family,1
298,2,9000,800,Ground out of 2,2,Sodepur,1,1,Bachelors/Family,1
299,2,20000,1600,Ground out of 3,2,Jadavpur University,1,1,Bachelors,2
300,3,35000,1012,2 out of 3,2,Salt Lake City Sector 1,1,2,Bachelors/Family,2
301,3,15000,1200,Ground out of 2,2,"Pathak Para, Behala",1,1,Bachelors,2
302,2,20000,700,1 out of 2,1,Salt Lake City Sector 1,1,2,Bachelors/Family,1
303,2,12000,1000,1 out of 3,1,Behala,1,2,Bachelors/Family,1
304,2,8000,800,Ground out of 3,2,Thakurpukur,1,1,Bachelors,1
305,1,3000,500,Ground out of 1,1,Hatiara,1,2,Bachelors/Family,1
306,3,20000,1200,Ground out of 1,2,"Haridevpur, Paschim Putiary",1,2,Bachelors,2
307,1,9000,450,Ground out of 2,2,Salt Lake City Sector 2,1,1,Bachelors,1
308,3,13000,950,Ground out of 2,2,"Rabindrapally, Garia",1,1,Bachelors/Family,2
309,1,7000,350,Ground out of 2,2,Salt Lake City Sector 5,1,1,Bachelors/Family,1
310,1,9000,450,Ground out of 3,2,Salt Lake City Sector 5,1,1,Bachelors/Family,1
311,1,9000,550,Ground out of 2,2,"Bangur Avenue, Lake Town",1,2,Bachelors,1
312,2,10000,300,Ground out of 1,2,Keshtopur,1,1,Bachelors,1
313,3,15000,1250,Ground out of 3,1,"Sakher Bazar, Purba Barisha",1,2,Bachelors/Family,2
314,2,7000,700,2 out of 3,1,Garia,1,1,Bachelors/Family,1
315,3,8000,812,Ground out of 3,1,Hooghly,1,1,Bachelors/Family,2
316,2,8000,550,Ground out of 2,1,"Kalabagan, Tollygunge",1,1,Bachelors/Family,1
317,1,5000,500,Ground out of 1,1,Rishra,1,2,Bachelors/Family,1
318,1,14000,320,1 out of 2,2,"Action Area 3, Rajarhat Newtown",1,2,Bachelors,1
319,2,5000,600,Ground out of 2,1,"Anandapuri, Barrackpore",1,1,Bachelors/Family,1
320,2,5000,420,Ground out of 2,2,Barasat,1,1,Bachelors,1
321,3,12000,1100,Ground out of 2,1,Rabindrapally Kestopur,1,1,Bachelors,1
322,1,3200,220,3 out of 4,1,Sodepur,1,1,Bachelors/Family,1
323,2,8500,700,Ground out of 2,2,Nungi More,1,2,Bachelors/Family,2
324,3,16000,1200,Ground out of 2,2,"Baishnabghata, Garia",1,1,Bachelors/Family,2
325,2,14000,800,Ground out of 3,2,Santoshpur - EM Bypass,1,1,Bachelors/Family,2
